Question Text;Question Type;Option 1;Option 2;Option 3;Option 4;Option 5;Correct Answer;Time in seconds;Image Link;Answer explanation
Qu'est-ce qu'un Data Lake ?;Multiple Choice;Un système de gestion de fichiers;Un entrepôt de données structuré;Un stockage pour toutes les données, structurées et non structurées;Un outil pour nettoyer les données massives;;3;30;;Un Data Lake est un lieu où toutes les données, structurées et non structurées, peuvent être stockées.
Quel est l'avantage principal d'Apache Kafka ?;Multiple Choice;Gestion des bases relationnelles;Traitement des données en flux en temps réel;Création de visualisations interactives;Nettoyage des données massives;;2;30;;Kafka est utilisé pour gérer et traiter des flux de données en temps réel.
Qu'est-ce qu'Apache Flink ?;Multiple Choice;Un outil de stockage des données massives;Un système de fichiers distribué;Un framework pour le traitement des données en temps réel;Une base de données relationnelle;;3;30;;Apache Flink est un framework conçu pour traiter des données en temps réel.
Quel est le rôle de YARN dans Hadoop ?;Multiple Choice;Gérer les ressources et les tâches dans un cluster;Stocker les données massives;Créer des visualisations;Nettoyer les données;;1;30;;YARN (Yet Another Resource Negotiator) gère les ressources et les tâches dans un cluster Hadoop.
Qu'est-ce que le partitionnement des données ?;Multiple Choice;Un processus de nettoyage des données;Une division des données pour le traitement distribué;Un format de stockage spécifique;Un système de sécurité;;2;30;;Le partitionnement permet de diviser les données pour optimiser le traitement distribué.
Qu'est-ce qu'un cluster Hadoop ?;Multiple Choice;Une seule machine pour traiter les données;Un groupe de machines travaillant ensemble pour traiter les données;Un système de fichiers;Un logiciel de visualisation;;2;30;;Un cluster Hadoop est un groupe de machines qui collaborent pour traiter les données.
Quelle est la différence entre Data Warehouse et Data Lake ?;Multiple Choice;Data Warehouse est pour les données non structurées;Data Lake est pour les données massives structurées;Data Warehouse est structuré, Data Lake inclut toutes les données;Ils sont identiques;;3;30;;Un Data Warehouse stocke des données structurées, tandis qu'un Data Lake peut inclure des données structurées et non structurées.
Quel est l'objectif principal d'Apache Oozie ?;Multiple Choice;Automatiser et planifier des workflows dans Hadoop;Stocker des données massives;Créer des rapports interactifs;Analyser des données en temps réel;;1;30;;Oozie est un gestionnaire de workflows pour Hadoop.
Qu'est-ce qu'un ETL ?;Multiple Choice;Un processus d'extraction, transformation et chargement des données;Un système de stockage des données;Un format de base de données NoSQL;Un outil de visualisation;;1;30;;ETL signifie Extraction, Transformation et Chargement des données.
Quelle est la fonction principale de Spark Streaming ?;Multiple Choice;Stocker des données massives;Analyser des flux de données en temps réel;Créer des visualisations de données;Gérer des bases relationnelles;;2;30;;Spark Streaming est conçu pour traiter des flux de données en temps réel.
À quoi sert Apache Zookeeper ?;Multiple Choice;Gérer les workflows dans Hadoop;Coordonner les services distribués;Créer des visualisations interactives;Nettoyer les données massives;;2;30;;Zookeeper est utilisé pour coordonner des services dans un environnement distribué.
Qu'est-ce qu'un framework OLAP ?;Multiple Choice;Un système de traitement transactionnel;Un outil pour l'analyse multidimensionnelle des données;Une base de données NoSQL;Un format de stockage pour les Big Data;;2;30;;OLAP (Online Analytical Processing) est utilisé pour l'analyse multidimensionnelle des données.
Qu'est-ce que l'élasticité dans le Big Data ?;Multiple Choice;La capacité à traiter des données non structurées;La capacité à s'adapter aux changements de charge;Une méthode de stockage;Un outil pour créer des rapports;;2;30;;L'élasticité est la capacité d'un système à s'adapter aux changements de charge.
Quelle est l'architecture de Hadoop ?;Multiple Choice;Une architecture monolithique;Une architecture maître-esclave;Une architecture décentralisée;Une architecture pair-à-pair;;2;30;;Hadoop suit une architecture maître-esclave avec des nœuds maîtres et esclaves.
Quelle est l'importance de la réplication dans HDFS ?;Multiple Choice;Elle garantit la sécurité des données;Elle améliore la vitesse de traitement;Elle facilite la visualisation des données;Elle permet le partitionnement des données;;1;30;;La réplication garantit que les données restent accessibles même en cas de panne.
Qu'est-ce que Sqoop ?;Multiple Choice;Un outil pour transférer des données entre bases SQL et Hadoop;Un moteur de base de données NoSQL;Un système de fichiers;Un format de données;;1;30;;Sqoop est utilisé pour importer et exporter des données entre Hadoop et des bases de données relationnelles.
Qu'est-ce que Presto ?;Multiple Choice;Un moteur SQL distribué;Un outil de traitement en temps réel;Un système de fichiers;Un framework de machine learning;;1;30;;Presto est un moteur SQL distribué utilisé pour interroger des données massives.
Quelle est la particularité des bases de données columnaires ?;Multiple Choice;Les données sont stockées en lignes;Les données sont stockées par colonnes;Elles ne peuvent stocker que des données non structurées;Elles sont uniquement utilisées avec Hadoop;;2;30;;Les bases de données columnaires stockent les données par colonnes, ce qui est optimisé pour l'analyse.
À quoi sert AWS EMR ?;Multiple Choice;Créer des bases NoSQL;Exécuter des frameworks Big Data sur le cloud;Créer des dashboards interactifs;Analyser des données en temps réel;;2;30;;AWS EMR permet d'exécuter des frameworks Big Data comme Hadoop et Spark sur le cloud.
