Question Text;Question Type;Option 1;Option 2;Option 3;Option 4;Option 5;Correct Answer;Time in seconds;Image Link;Answer explanation
Quelle est une caractéristique de la pédagogie Montessori ?;Multiple Choice;L'autonomie et la confiance en soi;L'enseignement directif;L'évaluation standardisée;La mémorisation par cœur;;1;30;;Montessori privilégie l'autonomie et la confiance en soi.
Qu'est-ce que l'apprentissage vicariant selon Bandura ?;Multiple Choice;Apprendre par observation;Apprendre par répétition;Apprendre seul;Apprendre par mémorisation;;1;30;;L'apprentissage vicariant repose sur l'observation de modèles.
Qu'est-ce que l'auto-efficacité selon Bandura ?;Multiple Choice;La perception de ses capacités à réussir;La mémorisation d'informations;L'analyse des erreurs;La gestion des émotions;;1;30;;Bandura décrit l'auto-efficacité comme la croyance en ses capacités.
Quels sont les piliers de l'apprentissage selon Dehaene ?;Multiple Choice;Attention, engagement actif, retour d'information, consolidation;Répétition, réflexion, analyse, mémorisation;Attention, analyse critique, compréhension, raisonnement;Répétition, consolidation, engagement, motivation;;1;30;;Dehaene identifie ces piliers comme essentiels.
Comment la consolidation influence-t-elle l'apprentissage ?;Multiple Choice;Elle transforme l'explicite en implicite;Elle augmente la mémoire à court terme;Elle améliore les capacités de raisonnement;Elle stimule la flexibilité mentale;;1;30;;La consolidation rend les apprentissages automatiques.
Quel est le rôle du sommeil dans l'apprentissage ?;Multiple Choice;Il organise et consolide les connaissances;Il supprime les informations inutiles;Il stimule la motivation;Il améliore la flexibilité mentale;;1;30;;Le sommeil joue un rôle clé dans la consolidation des connaissances.
Quelle est une limite des constructivistes selon les interactionnistes ?;Multiple Choice;Focalisation sur le social;Exclusion des aspects affectifs;Manque de structuration;Inclusion des facteurs biologiques;;2;30;;Le constructivisme sous-estime les aspects sociaux et affectifs.
Qu'est-ce que la théorie de l'esprit permet à un enfant ?;Multiple Choice;Se représenter l'état d'esprit des autres;Raisonner logiquement;Développer une mémoire précise;Comprendre des concepts abstraits;;1;30;;Elle permet de comprendre les pensées et intentions des autres.
Qu'est-ce qu'un conflit sociocognitif selon Doise et Mugny ?;Multiple Choice;Un désaccord entre pairs;Une incompréhension cognitive;Un processus individuel;Une évaluation formelle;;1;30;;Le conflit sociocognitif stimule le progrès cognitif à travers des désaccords entre pairs.
Comment Bruner définit-il le rôle d'un médiateur ?;Multiple Choice;Simplifier la tâche et guider;Évaluer les compétences;Répéter les consignes;Observer sans intervenir;;1;30;;Le médiateur soutient l'enfant en simplifiant les tâches.
Comment Piaget décrit-il le passage d'un schème primitif à complexe ?;Multiple Choice;Par mémorisation;Par répétition;Par adaptation active;Par observation;;3;30;;L'adaptation active inclut l'assimilation et l'accommodation.
Quelle est une des caractéristiques du stade sensorimoteur ?;Multiple Choice;Apparition du langage;Utilisation de la pensée abstraite;Exploration sensorielle et motrice;Logique mathématique;;3;30;;Ce stade implique exploration via les sens et la motricité.
Comment se manifeste l'autonomie dans la pédagogie Montessori ?;Multiple Choice;Par des tests standardisés;Par des activités imposées;Par des activités libres;Par des cours magistraux;;3;30;;Les activités libres renforcent l'autonomie dans Montessori.
Quelle est une conséquence d'un manque d'attention ?;Multiple Choice;Mauvaise mémorisation;Augmentation de la compréhension;Renforcement de la flexibilité mentale;Amélioration des résultats scolaires;;1;30;;Un manque d'attention compromet l'apprentissage.
Quel est un processus essentiel dans la mémoire de travail ?;Multiple Choice;Mémorisation à long terme;Mise à jour des informations;Répétition intensive;Observation passive;;2;30;;La mémoire de travail gère les informations actuelles.
Qu'est-ce que l'inhibition permet ?;Multiple Choice;De mieux mémoriser;De résister à des impulsions;De comprendre les concepts abstraits;De planifier les tâches;;2;30;;L'inhibition aide à maîtriser les envies immédiates.
Quel est le rôle de la flexibilité mentale ?;Multiple Choice;S'adapter à de nouvelles situations;Résister aux distractions;Répéter des actions apprises;Ignorer les erreurs;;1;30;;La flexibilité mentale permet de s'ajuster aux changements.
